Author,Book,Year,Epoch,Genre_Primary,Genre_Secondary,Form,Remarks,source
Geoffrey Chaucer,The Canterbury Tales,1400,Pre-Modern (pre-1600),Literary / Realist Fiction,Fantasy / Adventure,Other,Epic poem/anthology; multi-genre; Form=Other,sparknotes
Frederick Douglass,Narrative of the Life of Frederick Douglass,1845,19th Century,Literary / Realist Fiction,,Other,Non-fiction memoir; Form=Other,sparknotes
Henry David Thoreau,Walden,1854,19th Century,Literary / Realist Fiction,,Other,Non-fiction essay; Form=Other,sparknotes
James Joyce,Dubliners,1914,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,Short story collection,sparknotes
Ernest Hemingway,In Our Time,1925,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,Short story collection,sparknotes
Edith Hamilton,Mythology,1942,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,Non-fiction; Form=Other,sparknotes
Martin Luther King Jr,Letter from the Birmingham Jail,1963,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,Non-fiction essay; Form=Other,sparknotes
Maya Angelou,I Know Why the Caged Bird Sings,1969,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Other,Autobiographical; Form=Other,sparknotes
Jon Krakauer,Missoula,2015,21st Century (2000+),Literary / Realist Fiction,,Other,Non-fiction true crime; Form=Other,sparknotes
Ijeoma Oluo,So You Want to Talk About Race,2018,21st Century (2000+),Literary / Realist Fiction,,Other,Non-fiction; Form=Other,sparknotes
Sara Saedi,Americanized,2018,21st Century (2000+),Coming-of-Age / Bildungsroman,,Other,YA memoir; Form=Other,sparknotes
Greta Thunberg,No One Is too Small to Make a Difference,2019,21st Century (2000+),Literary / Realist Fiction,,Other,Non-fiction speeches; Form=Other,sparknotes
Anonymous,Beowulf,1000 AD,Pre-Modern (pre-1600),Fantasy / Adventure,,Other,Epic poem; Form=Other; Antiquity,sparknotes
Ovid,Metamorphoses,8 AD,Pre-Modern (pre-1600),Literary / Realist Fiction,Fantasy / Adventure,Other,Narrative poem; Form=Other,sparknotes
Anonymous,The Arabian Nights,,Unknown,Fantasy / Adventure,,Other,Anthology/folklore; Form=Other; date uncertain,sparknotes
Fernando de Rojas,La Celestina,1499,Pre-Modern (pre-1600),Tragedy / Drama,Romance / Domestic Fiction,Novel,Tragicomedy; Form=Play,sparknotes
